Student_ID,Gender,Age,Department,Study_Hours_per_Week,Attendance_Percentage,Internal_Marks,Assignment_Score,Final_Exam_Score,Overall_Grade
S101,Female,20,CSE,15,92,78,85,88,A
S102,Male,21,ECE,10,85,65,70,72,B
S103,Female,19,IT,18,95,82,90,91,A
S104,Male,22,EEE,8,75,55,60,58,C
S105,Female,20,CSE,12,88,70,75,80,B
S106,Male,21,ECE,20,98,90,92,94,A
S107,Female,19,IT,6,65,45,50,52,D
S108,Male,23,EEE,14,82,68,72,74,B
S109,Female,20,CSE,16,90,80,85,87,A
S110,Male,22,ECE,9,78,60,65,67,C
S111,Female,21,IT,17,93,85,88,90,A
S112,Male,20,EEE,11,80,66,70,73,B
S113,Female,22,CSE,7,72,50,55,60,C
S114,Male,19,ECE,19,97,88,91,93,A
S115,Female,21,IT,13,86,72,76,79,B
